,month,state,positive
220,June,CT,1603704.0
221,June,DC,1348127.0
222,June,DE,1296987.0
223,June,FL,863768.0
224,June,GA,846777.0
225,June,HI,1262555.0
226,June,IA,815708.0
227,June,ID,1112848.0
228,June,IL,1926374.0
229,June,IN,1525839.0
230,June,KS,1611096.0
231,June,KY,1966641.0
232,June,LA,1906246.0
233,June,MA,966818.0
234,June,MD,1536772.0
235,June,ME,1834836.0
236,June,MI,876760.0
237,June,MN,1334391.0
238,June,MO,2351669.0
239,June,MS,1742341.0
240,June,MT,1129235.0
241,June,NC,1092843.0
242,June,ND,1463663.0
243,June,NE,849230.0
244,June,NH,1251320.0
245,June,NJ,945560.0
246,June,NM,729302.0
247,June,NV,1232664.0
248,June,NY,931595.0
249,June,OH,809219.0
250,June,OK,1150958.0
251,June,OR,1559028.0
252,June,PA,899972.0
253,June,RI,927117.0
254,June,SC,1204038.0
255,June,SD,870470.0
256,June,TN,515348.0
257,June,TX,910706.0
258,June,UT,2284872.0
259,June,VA,1142523.0
260,June,VT,1312098.0
261,June,WA,1037417.0
262,June,WI,1290325.0
263,June,WV,2039893.0
264,June,WY,1005042.0
265,March,AK,22862.0
266,March,AL,11770.0
267,March,AR,15925.0
268,March,AZ,41947.0
269,March,CA,10273.0
270,March,CO,11264.0
271,March,CT,9275.0
272,March,DC,17576.0
273,March,DE,5860.0
274,March,FL,110407.0
275,March,GA,10480.0
276,March,HI,28764.0
277,March,IA,5169.0
278,March,ID,9113.0
279,March,IL,32169.0
280,March,IN,19824.0
281,March,KS,109634.0
282,March,KY,7982.0
283,March,LA,17163.0
284,March,MA,14290.0
285,March,MD,40268.0
286,March,ME,24987.0
287,March,MI,5845.0
288,March,MN,28491.0
289,March,MO,17126.0
290,March,MS,11331.0
291,March,MT,19037.0
292,March,NC,19909.0
293,March,ND,7165.0
294,March,NE,8192.0
295,March,NH,15478.0
296,March,NJ,7074.0
297,March,NM,9986.0
298,March,NV,37469.0
299,March,NY,12219.0
300,March,OH,11877.0
301,March,OK,92917.0
302,March,OR,6804.0
303,March,PA,12319.0
304,March,RI,24566.0
305,March,SC,21353.0
306,March,SD,79726.0
307,March,TN,33236.0
308,March,TX,52003.0
309,March,UT,14672.0
310,March,VA,7023.0
311,March,VT,23467.0
312,March,WA,9402.0
313,March,WI,17323.0
314,March,WV,6365.0
315,March,WY,24683.0
316,May,AK,565229.0
317,May,AL,1079212.0
318,May,AR,511701.0
319,May,AZ,438033.0
320,May,CA,623539.0
321,May,CO,897708.0
322,May,CT,831384.0
323,May,DC,1027031.0
324,May,DE,1085962.0
325,May,FL,566412.0
326,May,GA,718362.0
327,May,HI,1687848.0
328,May,IA,974315.0
329,May,ID,886333.0
330,May,IL,494904.0
331,May,IN,542164.0
332,May,KS,734306.0
333,May,KY,897607.0
334,May,LA,1102408.0
335,May,MA,729116.0
336,May,MD,844685.0
337,May,ME,1286365.0
338,May,MI,549654.0
339,May,MN,780523.0
340,May,MO,1198689.0
341,May,MS,955392.0
342,May,MT,557359.0
343,May,NC,936089.0
344,May,ND,2565122.0
345,May,NE,546546.0
346,May,NH,593704.0
347,May,NJ,748949.0
348,May,NM,889573.0
349,May,NV,1131516.0
350,May,NY,802508.0
351,May,OH,699733.0
352,May,OK,688337.0
353,May,OR,1432016.0
354,May,PA,1048154.0
355,May,RI,465277.0
356,May,SC,1247544.0
357,May,SD,550330.0
358,May,TN,694848.0
359,May,TX,1362666.0
360,May,UT,595893.0
361,May,VA,1129065.0
362,May,VT,679181.0
363,May,WA,1347174.0
364,May,WI,1298611.0
365,May,WV,399303.0
366,May,WY,795123.0
367,November,AK,5360788.0
368,November,AL,8372827.0
369,November,AR,9842386.0
370,November,AZ,7130284.0
371,November,CA,6608120.0
372,November,CO,6414402.0
373,November,CT,5469945.0
374,November,DC,7337594.0
375,November,DE,5850965.0
376,November,FL,8198252.0
377,November,GA,4973600.0
378,November,HI,6407298.0
379,November,IA,6805812.0
380,November,ID,5428164.0
381,November,IL,4884559.0
382,November,IN,6592972.0
383,November,KS,5352907.0
384,November,KY,7173974.0
385,November,LA,5414012.0
386,November,MA,7660890.0
387,November,MD,7301137.0
388,November,ME,8391520.0
