,City,month,test_type,count
159,Iowa,9,positive,2214554.0
160,Iowa,10,positive,3081101.0
161,Iowa,11,positive,4869062.0
162,Iowa,12,positive,1241677.0
163,Kansas,3,positive,352753.0
164,Kansas,4,positive,50691.0
165,Kansas,5,positive,231250.0
166,Kansas,6,positive,345629.0
167,Kansas,7,positive,641215.0
168,Kansas,8,positive,1055247.0
169,Kansas,9,positive,1506367.0
170,Kansas,10,positive,2170332.0
171,Kansas,11,positive,3543266.0
172,Kansas,12,positive,975604.0
173,Kentucky,3,positive,170634.0
174,Kentucky,4,positive,66458.0
175,Kentucky,5,positive,220728.0
176,Kentucky,6,positive,378207.0
177,Kentucky,7,positive,664049.0
178,Kentucky,8,positive,1199978.0
179,Kentucky,9,positive,1740471.0
180,Kentucky,10,positive,2638039.0
181,Kentucky,11,positive,4152676.0
182,Kentucky,12,positive,1131833.0
183,Louisiana,3,positive,109205.0
184,Louisiana,4,positive,602396.0
185,Louisiana,5,positive,1046428.0
186,Louisiana,6,positive,1414455.0
187,Louisiana,7,positive,2634961.0
188,Louisiana,8,positive,4192769.0
189,Louisiana,9,positive,4759370.0
190,Louisiana,10,positive,5485744.0
191,Louisiana,11,positive,6177236.0
192,Louisiana,12,positive,1449921.0
193,Maine,3,positive,166748.0
194,Maine,4,positive,21566.0
195,Maine,5,positive,50928.0
196,Maine,6,positive,83129.0
197,Maine,7,positive,111375.0
198,Maine,8,positive,129306.0
199,Maine,9,positive,147537.0
200,Maine,10,positive,182098.0
201,Maine,11,positive,268973.0
202,Maine,12,positive,74466.0
203,Maryland,3,positive,115130.0
204,Maryland,4,positive,306220.0
205,Maryland,5,positive,1152092.0
206,Maryland,6,positive,1833703.0
207,Maryland,7,positive,2353771.0
208,Maryland,8,positive,3067094.0
209,Maryland,9,positive,3501904.0
210,Maryland,10,positive,4152025.0
211,Maryland,11,positive,5020393.0
212,Maryland,12,positive,1229834.0
213,Massachusetts,1,positive,0.0
214,Massachusetts,2,positive,0.0
215,Massachusetts,3,positive,25633.0
216,Massachusetts,4,positive,932382.0
217,Massachusetts,5,positive,2547825.0
218,Massachusetts,6,positive,3152948.0
219,Massachusetts,7,positive,3489987.0
220,Massachusetts,8,positive,3811743.0
221,Massachusetts,9,positive,3782110.0
222,Massachusetts,10,positive,4422653.0
223,Massachusetts,11,positive,5645446.0
224,Massachusetts,12,positive,1428891.0
225,Michigan,3,positive,187325.0
226,Michigan,4,positive,1007829.0
227,Michigan,5,positive,1750231.0
228,Michigan,6,positive,1994527.0
229,Michigan,7,positive,2458725.0
230,Michigan,8,positive,3138256.0
231,Michigan,9,positive,3737267.0
232,Michigan,10,positive,4940269.0
233,Michigan,11,positive,8431197.0
234,Michigan,12,positive,2444968.0
235,Minnesota,3,positive,178028.0
236,Minnesota,4,positive,85668.0
237,Minnesota,5,positive,534892.0
238,Minnesota,6,positive,932226.0
239,Minnesota,7,positive,1369305.0
240,Minnesota,8,positive,1997466.0
241,Minnesota,9,positive,2583948.0
242,Minnesota,10,positive,3689821.0
243,Minnesota,11,positive,6679293.0
244,Minnesota,12,positive,1986432.0
245,Mississippi,3,positive,327141.0
246,Mississippi,4,positive,103843.0
247,Mississippi,5,positive,335386.0
248,Mississippi,6,positive,600747.0
249,Mississippi,7,positive,1246678.0
250,Mississippi,8,positive,2211250.0
251,Mississippi,9,positive,2718436.0
252,Mississippi,10,positive,3351488.0
253,Mississippi,11,positive,4026096.0
254,Mississippi,12,positive,948559.0
255,Missouri,3,positive,87858.0
256,Missouri,4,positive,138221.0
257,Missouri,5,positive,324627.0
258,Missouri,6,positive,493848.0
259,Missouri,7,positive,976581.0
260,Missouri,8,positive,2050384.0
261,Missouri,9,positive,3147667.0
262,Missouri,10,positive,4686341.0
263,Missouri,11,positive,7138973.0
264,Missouri,12,positive,1849034.0
265,Montana,3,positive,14232.0
266,Montana,4,positive,11178.0
267,Montana,5,positive,14518.0
268,Montana,6,positive,19339.0
269,Montana,7,positive,67549.0
270,Montana,8,positive,173329.0
271,Montana,9,positive,287258.0
272,Montana,10,positive,663039.0
273,Montana,11,positive,1406711.0
274,Montana,12,positive,388370.0
275,Nebraska,2,positive,0.0
276,Nebraska,3,positive,945.0
277,Nebraska,4,positive,36382.0
278,Nebraska,5,positive,285764.0
279,Nebraska,6,positive,497792.0
280,Nebraska,7,positive,677299.0
281,Nebraska,8,positive,923009.0
282,Nebraska,9,positive,1164549.0
283,Nebraska,10,positive,1713168.0
284,Nebraska,11,positive,2891450.0
285,Nebraska,12,positive,788632.0
286,Nevada,3,positive,219972.0
287,Nevada,4,positive,93333.0
288,Nevada,5,positive,207301.0
289,Nevada,6,positive,356014.0
290,Nevada,7,positive,982132.0
291,Nevada,8,positive,1854015.0
292,Nevada,9,positive,2223794.0
293,Nevada,10,positive,2751087.0
294,Nevada,11,positive,3652987.0
295,Nevada,12,positive,951626.0
296,New Hampshire,3,positive,789185.0
297,New Hampshire,4,positive,33527.0
298,New Hampshire,5,positive,104325.0
299,New Hampshire,6,positive,157564.0
300,New Hampshire,7,positive,189549.0
301,New Hampshire,8,positive,214974.0
302,New Hampshire,9,positive,232015.0
303,New Hampshire,10,positive,293924.0
304,New Hampshire,11,positive,448130.0
305,New Hampshire,12,positive,135845.0
306,New Jersey,2,positive,0.0
307,New Jersey,3,positive,73803.0
308,New Jersey,4,positive,2086679.0
309,New Jersey,5,positive,4428692.0
310,New Jersey,6,positive,4998963.0
311,New Jersey,7,positive,5458305.0
312,New Jersey,8,positive,5791940.0
313,New Jersey,9,positive,5928251.0
314,New Jersey,10,positive,6767221.0
315,New Jersey,11,positive,8392657.0
316,New Jersey,12,positive,2095067.0
317,New Mexico,3,positive,476767.0
318,New Mexico,4,positive,46425.0
319,New Mexico,5,positive,173697.0
320,New Mexico,6,positive,293855.0
321,New Mexico,7,positive,495682.0
322,New Mexico,8,positive,717107.0
323,New Mexico,9,positive,811595.0
324,New Mexico,10,positive,1114501.0
325,New Mexico,11,positive,2021955.0
326,New Mexico,12,positive,612130.0
327,New York,3,positive,807955.0
328,New York,4,positive,5999866.0
329,New York,5,positive,10626893.0
330,New York,6,positive,11490808.0
331,New York,7,positive,12522993.0
332,New York,8,positive,13163134.0
333,New York,9,positive,13370264.0
334,New York,10,positive,14891864.0
335,New York,11,positive,16880898.0
336,New York,12,positive,4023065.0
337,North Carolina,3,positive,371071.0
338,North Carolina,4,positive,159553.0
339,North Carolina,5,positive,553768.0
340,North Carolina,6,positive,1339674.0
341,North Carolina,7,positive,2844078.0
342,North Carolina,8,positive,4454430.0
343,North Carolina,9,positive,5621193.0
344,North Carolina,10,positive,7430806.0
345,North Carolina,11,positive,9398605.0
346,North Carolina,12,positive,2251818.0
347,North Dakota,3,positive,602.0
348,North Dakota,4,positive,13859.0
349,North Dakota,5,positive,55818.0
350,North Dakota,6,positive,92094.0
351,North Dakota,7,positive,146492.0
352,North Dakota,8,positive,267476.0
353,North Dakota,9,positive,486574.0
354,North Dakota,10,positive,947123.0
