,date,City,positive,negative
11587,2020-04-10,North Dakota,269.0,9330.0
13787,2020-04-10,Connecticut,9784.0,25750.0
7447,2020-04-10,Ohio,5512.0,52695.0
1593,2020-04-10,Indiana,6351.0,28133.0
12412,2020-04-10,Maine,560.0,6088.0
12687,2020-04-10,Montana,354.0,7932.0
3836,2020-04-10,California,18309.0,145391.0
5504,2020-04-10,Illinois,16422.0,69640.0
13237,2020-04-10,Utah,1976.0,41936.0
12137,2020-04-10,Mississippi,2260.0,18632.0
6893,2020-04-10,Tennessee,4634.0,57937.0
1877,2020-04-10,Virginia,4042.0,30950.0
4114,2020-04-10,Colorado,6202.0,26143.0
13512,2020-04-10,Alabama,2769.0,18058.0
5226,2020-04-10,North Carolina,3651.0,53737.0
6060,2020-04-10,Hawaii,435.0,15707.0
6616,2020-04-10,Oregon,1321.0,24306.0
1013,2020-04-10,New Jersey,51027.0,58935.0
11862,2020-04-10,Missouri,3539.0,36941.0
9934,2020-04-10,Minnesota,1637.0,35346.0
8830,2020-04-10,Alaska,235.0,7186.0
9382,2020-04-10,Pennsylvania,18228.0,93040.0
1309,2020-04-10,Nebraska,567.0,8719.0
712,2020-04-10,Florida,15219.0,145299.0
7170,2020-04-10,District of Columbia,1523.0,7695.0
8001,2020-04-10,Maryland,6185.0,37480.0
3000,2020-04-10,New York,159937.0,247373.0
11312,2020-04-10,Louisiana,18283.0,73027.0
2158,2020-04-10,Rhode Island,2169.0,15403.0
2159,2020-04-11,Rhode Island,2573.0,17130.0
12138,2020-04-11,Mississippi,2469.0,18632.0
8002,2020-04-11,Maryland,6968.0,39544.0
10487,2020-04-11,Kentucky,1693.0,22595.0
4115,2020-04-11,Colorado,6510.0,27980.0
4671,2020-04-11,South Carolina,3065.0,26886.0
9659,2020-04-11,Arkansas,1171.0,17352.0
6061,2020-04-11,Hawaii,442.0,17066.0
11313,2020-04-11,Louisiana,19253.0,76901.0
13513,2020-04-11,Alabama,2968.0,18058.0
6894,2020-04-11,Tennessee,4862.0,61714.0
12413,2020-04-11,Maine,586.0,6088.0
8279,2020-04-11,Nevada,2584.0,20887.0
7725,2020-04-11,New Mexico,1091.0,27518.0
3280,2020-04-11,Vermont,680.0,7774.0
9935,2020-04-11,Minnesota,1732.0,36898.0
12688,2020-04-11,Montana,365.0,8204.0
1594,2020-04-11,Indiana,6907.0,31780.0
10763,2020-04-11,West Virginia,554.0,14875.0
6339,2020-04-11,Georgia,11483.0,39556.0
3559,2020-04-11,Wisconsin,3665.0,34680.0
713,2020-04-11,Florida,16252.0,154439.0
3837,2020-04-11,California,19472.0,152604.0
11863,2020-04-11,Missouri,3799.0,39148.0
80,2020-04-11,Washington,10413.0,124908.0
11038,2020-04-11,South Dakota,536.0,7378.0
10211,2020-04-11,Kansas,1166.0,11075.0
5505,2020-04-11,Illinois,17887.0,72969.0
3001,2020-04-11,New York,170512.0,260522.0
400,2020-04-11,Massachusetts,20878.0,86115.0
9383,2020-04-11,Pennsylvania,19979.0,98498.0
2721,2020-04-11,Michigan,30172.0,62241.0
8555,2020-04-11,Delaware,1326.0,9624.0
8831,2020-04-11,Alaska,246.0,7475.0
2440,2020-04-11,Wyoming,340.0,5198.0
7171,2020-04-11,District of Columbia,1660.0,8261.0
1310,2020-04-11,Nebraska,635.0,9285.0
14063,2020-04-11,Idaho,1353.0,12368.0
12963,2020-04-11,Oklahoma,1794.0,20790.0
13238,2020-04-11,Utah,2102.0,43872.0
5227,2020-04-11,North Carolina,3908.0,56081.0
5783,2020-04-11,New Hampshire,819.0,9608.0
11588,2020-04-11,North Dakota,278.0,9787.0
1878,2020-04-11,Virginia,4509.0,32922.0
13788,2020-04-11,Connecticut,10538.0,28321.0
7448,2020-04-11,Ohio,5878.0,54221.0
4949,2020-04-11,Arizona,3112.0,37137.0
4393,2020-04-11,Texas,11671.0,107972.0
9107,2020-04-11,Iowa,1388.0,15622.0
1014,2020-04-11,New Jersey,54588.0,62042.0
6617,2020-04-11,Oregon,1321.0,25853.0
8556,2020-04-12,Delaware,1479.0,9624.0
6895,2020-04-12,Tennessee,5114.0,65369.0
2160,2020-04-12,Rhode Island,2853.0,18578.0
7726,2020-04-12,New Mexico,1174.0,29270.0
11864,2020-04-12,Missouri,4024.0,41040.0
9384,2020-04-12,Pennsylvania,21655.0,102057.0
7172,2020-04-12,District of Columbia,1778.0,8765.0
12964,2020-04-12,Oklahoma,1868.0,20790.0
5784,2020-04-12,New Hampshire,885.0,9996.0
6340,2020-04-12,Georgia,12159.0,42001.0
1015,2020-04-12,New Jersey,58151.0,64885.0
6062,2020-04-12,Hawaii,465.0,17482.0
3002,2020-04-12,New York,180458.0,272907.0
5506,2020-04-12,Illinois,19180.0,79883.0
8003,2020-04-12,Maryland,7694.0,41539.0
13789,2020-04-12,Connecticut,11510.0,29185.0
11314,2020-04-12,Louisiana,20014.0,83450.0
714,2020-04-12,Florida,17340.0,163398.0
7449,2020-04-12,Ohio,6250.0,56639.0
9936,2020-04-12,Minnesota,1806.0,38030.0
4950,2020-04-12,Arizona,3393.0,38570.0
4116,2020-04-12,Colorado,6893.0,29850.0
12139,2020-04-12,Mississippi,2642.0,18632.0
4394,2020-04-12,Texas,12561.0,111049.0
9108,2020-04-12,Iowa,1510.0,16005.0
2441,2020-04-12,Wyoming,343.0,5198.0
5228,2020-04-12,North Carolina,4312.0,57619.0
1879,2020-04-12,Virginia,5077.0,34711.0
3560,2020-04-12,Wisconsin,3822.0,35916.0
8832,2020-04-12,Alaska,257.0,7766.0
2722,2020-04-12,Michigan,30980.0,64555.0
10212,2020-04-12,Kansas,1268.0,11916.0
10488,2020-04-12,Kentucky,1693.0,22727.0
1311,2020-04-12,Nebraska,700.0,9900.0
81,2020-04-12,Washington,10568.0,126300.0
13514,2020-04-12,Alabama,3191.0,18058.0
3281,2020-04-12,Vermont,713.0,8316.0
9660,2020-04-12,Arkansas,1226.0,18442.0
4672,2020-04-12,South Carolina,3207.0,28106.0
12689,2020-04-12,Montana,377.0,8526.0
11589,2020-04-12,North Dakota,293.0,10042.0
3838,2020-04-12,California,20615.0,168534.0
1595,2020-04-12,Indiana,7435.0,34561.0
10764,2020-04-12,West Virginia,577.0,15646.0
401,2020-04-12,Massachusetts,22766.0,91463.0
14064,2020-04-12,Idaho,1396.0,12901.0
11039,2020-04-12,South Dakota,626.0,7823.0
8280,2020-04-12,Nevada,2700.0,21775.0
6618,2020-04-12,Oregon,1371.0,28231.0
12414,2020-04-12,Maine,616.0,6088.0
13239,2020-04-12,Utah,2206.0,45236.0
6341,2020-04-13,Georgia,12452.0,43706.0
10213,2020-04-13,Kansas,1337.0,12488.0
4673,2020-04-13,South Carolina,3319.0,28106.0
2723,2020-04-13,Michigan,31666.0,67063.0
8557,2020-04-13,Delaware,1479.0,10195.0
7450,2020-04-13,Ohio,6604.0,58137.0
2442,2020-04-13,Wyoming,364.0,5689.0
13790,2020-04-13,Connecticut,12035.0,30928.0
9109,2020-04-13,Iowa,1587.0,16986.0
12690,2020-04-13,Montana,387.0,8704.0
1596,2020-04-13,Indiana,7928.0,36303.0
4395,2020-04-13,Texas,13484.0,119320.0
10489,2020-04-13,Kentucky,1840.0,23903.0
4951,2020-04-13,Arizona,3539.0,39645.0
82,2020-04-13,Washington,10657.0,130515.0
7727,2020-04-13,New Mexico,1245.0,30625.0
8281,2020-04-13,Nevada,2836.0,22493.0
10765,2020-04-13,West Virginia,611.0,16029.0
12415,2020-04-13,Maine,633.0,11608.0
3561,2020-04-13,Wisconsin,3964.0,36769.0
11040,2020-04-13,South Dakota,730.0,8134.0
9385,2020-04-13,Pennsylvania,22833.0,105593.0
6063,2020-04-13,Hawaii,486.0,18345.0
1312,2020-04-13,Nebraska,791.0,10158.0
13515,2020-04-13,Alabama,3525.0,25448.0
6619,2020-04-13,Oregon,1527.0,29537.0
13240,2020-04-13,Utah,2303.0,45981.0
402,2020-04-13,Massachusetts,25381.0,95500.0
7173,2020-04-13,District of Columbia,1875.0,8979.0
3839,2020-04-13,California,21794.0,168534.0
12965,2020-04-13,Oklahoma,1970.0,20790.0
5785,2020-04-13,New Hampshire,929.0,10222.0
14065,2020-04-13,Idaho,1407.0,13455.0
11590,2020-04-13,North Dakota,308.0,10450.0
9661,2020-04-13,Arkansas,1280.0,19394.0
3282,2020-04-13,Vermont,733.0,8806.0
8004,2020-04-13,Maryland,8225.0,42815.0
11315,2020-04-13,Louisiana,20595.0,87075.0
5507,2020-04-13,Illinois,20852.0,83743.0
2161,2020-04-13,Rhode Island,3142.0,19431.0
9937,2020-04-13,Minnesota,1864.0,38667.0
4117,2020-04-13,Colorado,7303.0,31051.0
12140,2020-04-13,Mississippi,2781.0,28042.0
6896,2020-04-13,Tennessee,5308.0,70585.0
3003,2020-04-13,New York,188694.0,283326.0
8833,2020-04-13,Alaska,272.0,7553.0
5229,2020-04-13,North Carolina,4520.0,58572.0
1880,2020-04-13,Virginia,5274.0,35654.0
715,2020-04-13,Florida,18404.0,175606.0
1016,2020-04-13,New Jersey,61850.0,64885.0
11865,2020-04-13,Missouri,4160.0,41040.0
3283,2020-04-14,Vermont,754.0,8975.0
3004,2020-04-14,New York,195031.0,296935.0
2443,2020-04-14,Wyoming,373.0,5689.0
8282,2020-04-14,Nevada,2971.0,23573.0
7174,2020-04-14,District of Columbia,1955.0,9226.0
12416,2020-04-14,Maine,698.0,11608.0
13241,2020-04-14,Utah,2363.0,47588.0
6897,2020-04-14,Tennessee,5610.0,73008.0
12141,2020-04-14,Mississippi,2942.0,34791.0
2724,2020-04-14,Michigan,32702.0,70675.0
12691,2020-04-14,Montana,394.0,8835.0
12966,2020-04-14,Oklahoma,2069.0,26085.0
6064,2020-04-14,Hawaii,499.0,18916.0
9386,2020-04-14,Pennsylvania,24199.0,108286.0
9938,2020-04-14,Minnesota,2012.0,39705.0
7451,2020-04-14,Ohio,6975.0,60721.0
8005,2020-04-14,Maryland,8936.0,44261.0
11591,2020-04-14,North Dakota,331.0,10575.0
3840,2020-04-14,California,22348.0,178870.0
716,2020-04-14,Florida,19213.0,181813.0
4396,2020-04-14,Texas,13906.0,131843.0
11041,2020-04-14,South Dakota,868.0,8308.0
5786,2020-04-14,New Hampshire,985.0,10590.0
10766,2020-04-14,West Virginia,626.0,16398.0
9662,2020-04-14,Arkansas,1410.0,19651.0
8834,2020-04-14,Alaska,277.0,8063.0
6620,2020-04-14,Oregon,1584.0,30730.0
13516,2020-04-14,Alabama,3734.0,29241.0
1017,2020-04-14,New Jersey,64584.0,70950.0
1881,2020-04-14,Virginia,5747.0,36592.0
1313,2020-04-14,Nebraska,814.0,10486.0
403,2020-04-14,Massachusetts,26794.0,98820.0
14066,2020-04-14,Idaho,1426.0,13661.0
11316,2020-04-14,Louisiana,21016.0,96904.0
4118,2020-04-14,Colorado,7691.0,31639.0
5508,2020-04-14,Illinois,22025.0,87369.0
4674,2020-04-14,South Carolina,3319.0,30319.0
83,2020-04-14,Washington,11028.0,134871.0
3562,2020-04-14,Wisconsin,4080.0,37997.0
10490,2020-04-14,Kentucky,1963.0,24635.0
13791,2020-04-14,Connecticut,13381.0,31852.0
7728,2020-04-14,New Mexico,1345.0,31443.0
1597,2020-04-14,Indiana,8236.0,37490.0
4952,2020-04-14,Arizona,3702.0,40290.0
11866,2020-04-14,Missouri,4388.0,43292.0
10214,2020-04-14,Kansas,1376.0,12721.0
6342,2020-04-14,Georgia,13315.0,47572.0
2162,2020-04-14,Rhode Island,3329.0,20990.0
5230,2020-04-14,North Carolina,4816.0,60015.0
9110,2020-04-14,Iowa,1710.0,16986.0
8558,2020-04-14,Delaware,1625.0,10543.0
404,2020-04-15,Massachusetts,28109.0,102790.0
4953,2020-04-15,Arizona,3806.0,41348.0
2444,2020-04-15,Wyoming,383.0,6042.0
1314,2020-04-15,Nebraska,871.0,10828.0
6898,2020-04-15,Tennessee,5823.0,74817.0
1882,2020-04-15,Virginia,6171.0,37669.0
4119,2020-04-15,Colorado,7941.0,32253.0
13792,2020-04-15,Connecticut,13989.0,35388.0
9111,2020-04-15,Iowa,1899.0,17874.0
1018,2020-04-15,New Jersey,68824.0,72991.0
6065,2020-04-15,Hawaii,504.0,19286.0
12142,2020-04-15,Mississippi,3087.0,34791.0
10491,2020-04-15,Kentucky,2048.0,25487.0
3005,2020-04-15,New York,202208.0,312233.0
5509,2020-04-15,Illinois,23247.0,92336.0
10767,2020-04-15,West Virginia,640.0,16954.0
12417,2020-04-15,Maine,734.0,14076.0
5231,2020-04-15,North Carolina,5024.0,62704.0
9939,2020-04-15,Minnesota,2165.0,41245.0
12692,2020-04-15,Montana,399.0,9179.0
7452,2020-04-15,Ohio,7280.0,63761.0
6343,2020-04-15,Georgia,14223.0,49103.0
84,2020-04-15,Washington,11330.0,139041.0
717,2020-04-15,Florida,20135.0,190998.0
1598,2020-04-15,Indiana,8527.0,39441.0
4397,2020-04-15,Texas,14624.0,136318.0
10215,2020-04-15,Kansas,1426.0,13174.0
11042,2020-04-15,South Dakota,988.0,8691.0
12967,2020-04-15,Oklahoma,2184.0,26956.0
8283,2020-04-15,Nevada,3088.0,24444.0
2725,2020-04-15,Michigan,33613.0,73828.0
4675,2020-04-15,South Carolina,3553.0,31077.0
8835,2020-04-15,Alaska,285.0,8371.0
8006,2020-04-15,Maryland,9472.0,45731.0
8559,2020-04-15,Delaware,1761.0,11088.0
7175,2020-04-15,District of Columbia,2058.0,9328.0
7729,2020-04-15,New Mexico,1407.0,31910.0
13517,2020-04-15,Alabama,3876.0,29964.0
6621,2020-04-15,Oregon,1633.0,31688.0
3841,2020-04-15,California,23338.0,192062.0
11592,2020-04-15,North Dakota,341.0,10952.0
11867,2020-04-15,Missouri,4686.0,44117.0
9663,2020-04-15,Arkansas,1480.0,20265.0
3284,2020-04-15,Vermont,761.0,9326.0
2163,2020-04-15,Rhode Island,3596.0,22567.0
9387,2020-04-15,Pennsylvania,25345.0,111094.0
13242,2020-04-15,Utah,2412.0,50479.0
11317,2020-04-15,Louisiana,21518.0,99977.0
3563,2020-04-15,Wisconsin,4246.0,39326.0
14067,2020-04-15,Idaho,1453.0,13934.0
5787,2020-04-15,New Hampshire,1020.0,11027.0
10216,2020-04-16,Kansas,1494.0,14534.0
4398,2020-04-16,Texas,15492.0,142092.0
11043,2020-04-16,South Dakota,1168.0,9239.0
5788,2020-04-16,New Hampshire,1139.0,11027.0
3006,2020-04-16,New York,213779.0,328295.0
13243,2020-04-16,Utah,2542.0,53310.0
2164,2020-04-16,Rhode Island,3903.0,24657.0
7176,2020-04-16,District of Columbia,2197.0,9800.0
7453,2020-04-16,Ohio,7791.0,66426.0
718,2020-04-16,Florida,20727.0,196351.0
3842,2020-04-16,California,24424.0,220218.0
9388,2020-04-16,Pennsylvania,26490.0,113735.0
6344,2020-04-16,Georgia,14987.0,52270.0
85,2020-04-16,Washington,11658.0,143434.0
11593,2020-04-16,North Dakota,364.0,11311.0
8007,2020-04-16,Maryland,10032.0,48059.0
12693,2020-04-16,Montana,404.0,9521.0
3285,2020-04-16,Vermont,770.0,9583.0
5232,2020-04-16,North Carolina,5123.0,65452.0
10768,2020-04-16,West Virginia,702.0,17567.0
12418,2020-04-16,Maine,770.0,14076.0
9940,2020-04-16,Minnesota,2321.0,42536.0
4676,2020-04-16,South Carolina,3656.0,31077.0
1599,2020-04-16,Indiana,8955.0,41573.0
8284,2020-04-16,Nevada,3211.0,25130.0
5510,2020-04-16,Illinois,24593.0,96856.0
7730,2020-04-16,New Mexico,1484.0,32891.0
14068,2020-04-16,Idaho,1464.0,14655.0
4120,2020-04-16,Colorado,8280.0,33155.0
8560,2020-04-16,Delaware,2014.0,11275.0
11318,2020-04-16,Louisiana,21951.0,104054.0
12968,2020-04-16,Oklahoma,2263.0,28542.0
405,2020-04-16,Massachusetts,29970.0,110098.0
2445,2020-04-16,Wyoming,393.0,6131.0
12143,2020-04-16,Mississippi,3360.0,34791.0
4954,2020-04-16,Arizona,3962.0,43164.0
13793,2020-04-16,Connecticut,14755.0,37238.0
9664,2020-04-16,Arkansas,1569.0,21055.0
6899,2020-04-16,Tennessee,6079.0,78787.0
1315,2020-04-16,Nebraska,901.0,11342.0
1883,2020-04-16,Virginia,6500.0,39555.0
9112,2020-04-16,Iowa,1995.0,18534.0
2726,2020-04-16,Michigan,34533.0,78274.0
6066,2020-04-16,Hawaii,517.0,20170.0
8836,2020-04-16,Alaska,293.0,8435.0
10492,2020-04-16,Kentucky,2210.0,26033.0
6622,2020-04-16,Oregon,1663.0,33202.0
11868,2020-04-16,Missouri,4895.0,45537.0
3564,2020-04-16,Wisconsin,4453.0,40974.0
13518,2020-04-16,Alabama,4113.0,32046.0
1019,2020-04-16,New Jersey,71030.0,76513.0
13794,2020-04-17,Connecticut,15884.0,38653.0
2727,2020-04-17,Michigan,35455.0,83268.0
8285,2020-04-17,Nevada,3321.0,26238.0
4677,2020-04-17,South Carolina,3656.0,32353.0
10493,2020-04-17,Kentucky,2291.0,27318.0
8561,2020-04-17,Delaware,2075.0,11694.0
10217,2020-04-17,Kansas,1588.0,15196.0
1600,2020-04-17,Indiana,9542.0,44631.0
5233,2020-04-17,North Carolina,5465.0,67122.0
9389,2020-04-17,Pennsylvania,27735.0,117932.0
4955,2020-04-17,Arizona,4234.0,44723.0
7731,2020-04-17,New Mexico,1597.0,33902.0
3286,2020-04-17,Vermont,779.0,10054.0
12969,2020-04-17,Oklahoma,2357.0,31155.0
6345,2020-04-17,Georgia,15669.0,54490.0
2446,2020-04-17,Wyoming,401.0,6131.0
2165,2020-04-17,Rhode Island,4295.0,26157.0
11869,2020-04-17,Missouri,5111.0,46434.0
8008,2020-04-17,Maryland,10784.0,50437.0
9113,2020-04-17,Iowa,2141.0,19460.0
6900,2020-04-17,Tennessee,6262.0,80684.0
1316,2020-04-17,Nebraska,952.0,12038.0
13519,2020-04-17,Alabama,4345.0,33318.0
1020,2020-04-17,New Jersey,75317.0,78982.0
6623,2020-04-17,Oregon,1736.0,34536.0
8837,2020-04-17,Alaska,300.0,9141.0
6067,2020-04-17,Hawaii,530.0,21316.0
3565,2020-04-17,Wisconsin,4636.0,42365.0
5511,2020-04-17,Illinois,25733.0,102588.0
3007,2020-04-17,New York,222284.0,343581.0
13244,2020-04-17,Utah,2683.0,57241.0
11044,2020-04-17,South Dakota,1311.0,9651.0
12144,2020-04-17,Mississippi,3624.0,34791.0
1884,2020-04-17,Virginia,6889.0,41506.0
4399,2020-04-17,Texas,16455.0,152165.0
7177,2020-04-17,District of Columbia,2350.0,10167.0
719,2020-04-17,Florida,21624.0,210718.0
9941,2020-04-17,Minnesota,2486.0,43820.0
12419,2020-04-17,Maine,796.0,14076.0
10769,2020-04-17,West Virginia,739.0,17927.0
4121,2020-04-17,Colorado,8675.0,34260.0
11319,2020-04-17,Louisiana,22532.0,108869.0
5789,2020-04-17,New Hampshire,1139.0,11421.0
3843,2020-04-17,California,26182.0,224086.0
9665,2020-04-17,Arkansas,1620.0,21799.0
11594,2020-04-17,North Dakota,392.0,11903.0
86,2020-04-17,Washington,11967.0,148206.0
12694,2020-04-17,Montana,415.0,9822.0
14069,2020-04-17,Idaho,1587.0,15043.0
406,2020-04-17,Massachusetts,32492.0,117195.0
7454,2020-04-17,Ohio,8414.0,68819.0
12970,2020-04-18,Oklahoma,2465.0,32966.0
407,2020-04-18,Massachusetts,35125.0,124604.0
9114,2020-04-18,Iowa,2332.0,20434.0
9666,2020-04-18,Arkansas,1695.0,22402.0
2447,2020-04-18,Wyoming,412.0,6217.0
14070,2020-04-18,Idaho,1609.0,15292.0
9942,2020-04-18,Minnesota,2668.0,45182.0
2728,2020-04-18,Michigan,36320.0,87114.0
6068,2020-04-18,Hawaii,541.0,21790.0
5512,2020-04-18,Illinois,27575.0,108244.0
7178,2020-04-18,District of Columbia,2476.0,10602.0
12695,2020-04-18,Montana,422.0,10143.0
7732,2020-04-18,New Mexico,1711.0,34834.0
720,2020-04-18,Florida,22823.0,221258.0
9390,2020-04-18,Pennsylvania,29441.0,122896.0
5790,2020-04-18,New Hampshire,1287.0,11565.0
5234,2020-04-18,North Carolina,5859.0,70071.0
1317,2020-04-18,Nebraska,1066.0,12539.0
10218,2020-04-18,Kansas,1705.0,15886.0
4678,2020-04-18,South Carolina,3931.0,34587.0
8838,2020-04-18,Alaska,309.0,9341.0
7455,2020-04-18,Ohio,9107.0,68819.0
87,2020-04-18,Washington,12318.0,150599.0
4400,2020-04-18,Texas,17371.0,157979.0
3008,2020-04-18,New York,229642.0,359800.0
1021,2020-04-18,New Jersey,78467.0,81116.0
6901,2020-04-18,Tennessee,6589.0,83824.0
12145,2020-04-18,Mississippi,3793.0,34791.0
1885,2020-04-18,Virginia,7491.0,43878.0
4122,2020-04-18,Colorado,9047.0,35173.0
8009,2020-04-18,Maryland,11572.0,53062.0
11320,2020-04-18,Louisiana,23118.0,114419.0
13520,2020-04-18,Alabama,4530.0,37883.0
6624,2020-04-18,Oregon,1785.0,35739.0
13245,2020-04-18,Utah,2805.0,61499.0
3844,2020-04-18,California,27528.0,230703.0
11595,2020-04-18,North Dakota,438.0,12435.0
3566,2020-04-18,Wisconsin,4839.0,43962.0
3287,2020-04-18,Vermont,792.0,10346.0
2166,2020-04-18,Rhode Island,4585.0,27527.0
11870,2020-04-18,Missouri,5283.0,48242.0
8562,2020-04-18,Delaware,2323.0,11694.0
10770,2020-04-18,West Virginia,754.0,18655.0
12420,2020-04-18,Maine,827.0,14076.0
11045,2020-04-18,South Dakota,1411.0,10118.0
1601,2020-04-18,Indiana,10154.0,46232.0
13795,2020-04-18,Connecticut,16809.0,38653.0
8286,2020-04-18,Nevada,3524.0,27125.0
6346,2020-04-18,Georgia,17194.0,56539.0
10494,2020-04-18,Kentucky,2429.0,28074.0
4956,2020-04-18,Arizona,4507.0,46326.0
4679,2020-04-19,South Carolina,4246.0,36103.0
2729,2020-04-19,Michigan,37029.0,89758.0
13521,2020-04-19,Alabama,4655.0,40875.0
9667,2020-04-19,Arkansas,1739.0,22428.0
14071,2020-04-19,Idaho,1655.0,15773.0
11321,2020-04-19,Louisiana,23580.0,111420.0
8010,2020-04-19,Maryland,12308.0,55061.0
10495,2020-04-19,Kentucky,2522.0,29518.0
4123,2020-04-19,Colorado,9433.0,36465.0
1886,2020-04-19,Virginia,8053.0,46196.0
8287,2020-04-19,Nevada,3626.0,27870.0
2448,2020-04-19,Wyoming,422.0,6972.0
13246,2020-04-19,Utah,2931.0,65537.0
7179,2020-04-19,District of Columbia,2666.0,10906.0
408,2020-04-19,Massachusetts,37527.0,129295.0
8563,2020-04-19,Delaware,2323.0,12256.0
12971,2020-04-19,Oklahoma,2570.0,32966.0
11871,2020-04-19,Missouri,5517.0,48242.0
2167,2020-04-19,Rhode Island,4868.0,29289.0
10219,2020-04-19,Kansas,1790.0,16281.0
7733,2020-04-19,New Mexico,1798.0,35197.0
6625,2020-04-19,Oregon,1844.0,37128.0
9391,2020-04-19,Pennsylvania,31069.0,126570.0
4957,2020-04-19,Arizona,4719.0,48061.0
3567,2020-04-19,Wisconsin,5013.0,45323.0
5791,2020-04-19,New Hampshire,1287.0,12082.0
11596,2020-04-19,North Dakota,528.0,13045.0
13796,2020-04-19,Connecticut,16809.0,40663.0
3845,2020-04-19,California,28963.0,250567.0
3288,2020-04-19,Vermont,802.0,10514.0
12146,2020-04-19,Mississippi,3974.0,34791.0
9115,2020-04-19,Iowa,2513.0,21648.0
11046,2020-04-19,South Dakota,1542.0,10427.0
1602,2020-04-19,Indiana,10641.0,49932.0
88,2020-04-19,Washington,12493.0,152470.0
12696,2020-04-19,Montana,426.0,10465.0
6902,2020-04-19,Tennessee,6762.0,90028.0
10771,2020-04-19,West Virginia,785.0,19168.0
4401,2020-04-19,Texas,18260.0,163787.0
721,2020-04-19,Florida,23906.0,230083.0
6347,2020-04-19,Georgia,17669.0,61632.0
3009,2020-04-19,New York,236732.0,374769.0
12421,2020-04-19,Maine,847.0,14076.0
5513,2020-04-19,Illinois,29160.0,112961.0
7456,2020-04-19,Ohio,10222.0,75697.0
5235,2020-04-19,North Carolina,6140.0,72279.0
1318,2020-04-19,Nebraska,1138.0,13288.0
6069,2020-04-19,Hawaii,553.0,22896.0
1022,2020-04-19,New Jersey,81420.0,85387.0
9943,2020-04-19,Minnesota,2788.0,46288.0
8839,2020-04-19,Alaska,314.0,9576.0
9944,2020-04-20,Minnesota,2914.0,46854.0
9116,2020-04-20,Iowa,2902.0,22661.0
3568,2020-04-20,Wisconsin,5176.0,46603.0
10772,2020-04-20,West Virginia,863.0,21253.0
8564,2020-04-20,Delaware,2538.0,12508.0
5236,2020-04-20,North Carolina,6493.0,72720.0
10220,2020-04-20,Kansas,1849.0,16775.0
6348,2020-04-20,Georgia,18301.0,65381.0
9392,2020-04-20,Pennsylvania,32284.0,129720.0
5792,2020-04-20,New Hampshire,1342.0,12726.0
12422,2020-04-20,Maine,867.0,14076.0
3289,2020-04-20,Vermont,813.0,10695.0
409,2020-04-20,Massachusetts,39820.0,136046.0
8288,2020-04-20,Nevada,3728.0,28517.0
3846,2020-04-20,California,30333.0,259522.0
12697,2020-04-20,Montana,433.0,10618.0
12147,2020-04-20,Mississippi,4274.0,46922.0
6903,2020-04-20,Tennessee,7070.0,93451.0
4958,2020-04-20,Arizona,4929.0,49436.0
4680,2020-04-20,South Carolina,4377.0,36103.0
8840,2020-04-20,Alaska,319.0,9803.0
10496,2020-04-20,Kentucky,2707.0,29612.0
6070,2020-04-20,Hawaii,574.0,23595.0
11597,2020-04-20,North Dakota,584.0,14120.0
5514,2020-04-20,Illinois,30357.0,116850.0
9668,2020-04-20,Arkansas,1781.0,24630.0
11322,2020-04-20,Louisiana,23928.0,111588.0
3010,2020-04-20,New York,242786.0,386349.0
2730,2020-04-20,Michigan,37557.0,93393.0
722,2020-04-20,Florida,24647.0,239565.0
6626,2020-04-20,Oregon,1910.0,38089.0
4402,2020-04-20,Texas,18923.0,170936.0
11047,2020-04-20,South Dakota,1635.0,10641.0
4124,2020-04-20,Colorado,9730.0,37360.0
11872,2020-04-20,Missouri,5667.0,50206.0
14072,2020-04-20,Idaho,1668.0,15773.0
1319,2020-04-20,Nebraska,1287.0,14206.0
1887,2020-04-20,Virginia,8537.0,47745.0
1023,2020-04-20,New Jersey,85301.0,89251.0
13522,2020-04-20,Alabama,4837.0,40875.0
13247,2020-04-20,Utah,3069.0,68442.0
7180,2020-04-20,District of Columbia,2793.0,11186.0
1603,2020-04-20,Indiana,11210.0,52953.0
8011,2020-04-20,Maryland,12830.0,57713.0
13797,2020-04-20,Connecticut,17550.0,42991.0
2168,2020-04-20,Rhode Island,5207.0,30883.0
89,2020-04-20,Washington,12589.0,157104.0
12972,2020-04-20,Oklahoma,2599.0,32966.0
7457,2020-04-20,Ohio,11602.0,77920.0
2449,2020-04-20,Wyoming,426.0,7073.0
7734,2020-04-20,New Mexico,1845.0,36784.0
3290,2020-04-21,Vermont,817.0,10739.0
9945,2020-04-21,Minnesota,3190.0,48341.0
410,2020-04-21,Massachusetts,41416.0,141444.0
12148,2020-04-21,Mississippi,4512.0,47648.0
5515,2020-04-21,Illinois,31508.0,121938.0
13248,2020-04-21,Utah,3213.0,73752.0
7181,2020-04-21,District of Columbia,2927.0,11841.0
6071,2020-04-21,Hawaii,580.0,24112.0
1320,2020-04-21,Nebraska,1474.0,14724.0
8565,2020-04-21,Delaware,2745.0,12935.0
14073,2020-04-21,Idaho,1672.0,16071.0
3011,2020-04-21,New York,247512.0,397635.0
12423,2020-04-21,Maine,875.0,14076.0
9669,2020-04-21,Arkansas,1923.0,25214.0
5793,2020-04-21,New Hampshire,1392.0,12848.0
8289,2020-04-21,Nevada,3830.0,29118.0
2731,2020-04-21,Michigan,38494.0,99667.0
