,date,City,positive,negative
7413,2020-03-07,Ohio,0.0,9.0
10452,2020-03-07,Kentucky,0.0,9.0
2124,2020-03-07,Rhode Island,3.0,49.0
12378,2020-03-07,Maine,164931.0,1.0
11003,2020-03-07,South Dakota,54997.0,5.0
2966,2020-03-07,New York,25.0,152.0
3802,2020-03-07,California,60.0,462.0
4636,2020-03-07,South Carolina,0.0,8.0
8520,2020-03-07,Delaware,0.0,10.0
9072,2020-03-07,Iowa,0.0,15.0
46,2020-03-08,Washington,256.0,2315.0
6583,2020-03-08,Oregon,7.0,100.0
7968,2020-03-08,Maryland,3.0,52.0
5749,2020-03-08,New Hampshire,2.0,38.0
8245,2020-03-08,Nevada,4.0,14.0
5471,2020-03-08,Illinois,6.0,191.0
8521,2020-03-08,Delaware,0.0,10.0
7691,2020-03-08,New Mexico,0.0,57.0
4915,2020-03-08,Arizona,5.0,44.0
9073,2020-03-08,Iowa,0.0,15.0
4637,2020-03-08,South Carolina,2.0,8.0
7414,2020-03-08,Ohio,0.0,10.0
9625,2020-03-08,Arkansas,0.0,6.0
4081,2020-03-08,Colorado,8.0,133.0
7137,2020-03-08,District of Columbia,0.0,10.0
679,2020-03-08,Florida,8.0,118.0
14029,2020-03-08,Idaho,0.0,27.0
9901,2020-03-08,Minnesota,2.0,48.0
13204,2020-03-08,Utah,1.0,26.0
2967,2020-03-08,New York,36.0,328.0
12929,2020-03-08,Oklahoma,1.0,8.0
10177,2020-03-08,Kansas,0.0,11.0
980,2020-03-08,New Jersey,4.0,31.0
1276,2020-03-08,Nebraska,1.0,17.0
2687,2020-03-08,Michigan,188.0,26.0
11279,2020-03-08,Louisiana,0.0,5.0
10453,2020-03-08,Kentucky,1.0,13.0
10729,2020-03-08,West Virginia,0.0,2.0
12379,2020-03-08,Maine,0.0,1.0
3525,2020-03-08,Wisconsin,1.0,31.0
3803,2020-03-08,California,69.0,462.0
1844,2020-03-08,Virginia,0.0,36.0
11004,2020-03-08,South Dakota,0.0,5.0
12654,2020-03-08,Montana,0.0,11.0
2125,2020-03-08,Rhode Island,3.0,67.0
13754,2020-03-08,Connecticut,0.0,29.0
7692,2020-03-09,New Mexico,0.0,69.0
981,2020-03-09,New Jersey,6.0,35.0
4638,2020-03-09,South Carolina,2.0,24.0
2968,2020-03-09,New York,60.0,607.0
8246,2020-03-09,Nevada,4.0,14.0
5472,2020-03-09,Illinois,6.0,191.0
11005,2020-03-09,South Dakota,0.0,5.0
10730,2020-03-09,West Virginia,0.0,2.0
5750,2020-03-09,New Hampshire,4.0,38.0
2688,2020-03-09,Michigan,251.0,36.0
680,2020-03-09,Florida,12.0,140.0
11280,2020-03-09,Louisiana,0.0,5.0
7969,2020-03-09,Maryland,3.0,73.0
4916,2020-03-09,Arizona,5.0,44.0
2126,2020-03-09,Rhode Island,3.0,82.0
9074,2020-03-09,Iowa,0.0,26.0
10454,2020-03-09,Kentucky,1.0,17.0
12380,2020-03-09,Maine,0.0,1.0
8522,2020-03-09,Delaware,0.0,15.0
3526,2020-03-09,Wisconsin,1.0,36.0
14030,2020-03-09,Idaho,0.0,41.0
1277,2020-03-09,Nebraska,1.0,36.0
47,2020-03-09,Washington,317.0,3295.0
6584,2020-03-09,Oregon,14.0,165.0
7415,2020-03-09,Ohio,0.0,11.0
9902,2020-03-09,Minnesota,2.0,80.0
4082,2020-03-09,Colorado,9.0,142.0
13205,2020-03-09,Utah,1.0,33.0
3804,2020-03-09,California,88.0,690.0
12655,2020-03-09,Montana,0.0,11.0
10178,2020-03-09,Kansas,1.0,11.0
7138,2020-03-09,District of Columbia,1.0,14.0
9626,2020-03-09,Arkansas,0.0,12.0
1845,2020-03-09,Virginia,2.0,38.0
3247,2020-03-09,Vermont,1.0,28.0
12930,2020-03-09,Oklahoma,1.0,8.0
13755,2020-03-09,Connecticut,1.0,46.0
6585,2020-03-10,Oregon,14.0,213.0
13756,2020-03-10,Connecticut,1.0,54.0
11006,2020-03-10,South Dakota,0.0,11.0
2127,2020-03-10,Rhode Island,4.0,105.0
5473,2020-03-10,Illinois,7.0,244.0
13481,2020-03-10,Alabama,0.0,0.0
48,2020-03-10,Washington,378.0,4998.0
8247,2020-03-10,Nevada,5.0,14.0
2408,2020-03-10,Wyoming,0.0,0.0
13206,2020-03-10,Utah,1.0,44.0
681,2020-03-10,Florida,13.0,222.0
12381,2020-03-10,Maine,0.0,20.0
1846,2020-03-10,Virginia,3.0,53.0
982,2020-03-10,New Jersey,11.0,44.0
12656,2020-03-10,Montana,0.0,15.0
7139,2020-03-10,District of Columbia,1.0,17.0
12931,2020-03-10,Oklahoma,1.0,15.0
1562,2020-03-10,Indiana,2.0,30.0
7693,2020-03-10,New Mexico,0.0,87.0
11281,2020-03-10,Louisiana,1.0,11.0
7970,2020-03-10,Maryland,5.0,89.0
1278,2020-03-10,Nebraska,3.0,47.0
5751,2020-03-10,New Hampshire,4.0,38.0
7416,2020-03-10,Ohio,3.0,14.0
10179,2020-03-10,Kansas,1.0,17.0
4639,2020-03-10,South Carolina,7.0,24.0
2969,2020-03-10,New York,88.0,945.0
9075,2020-03-10,Iowa,3.0,32.0
8523,2020-03-10,Delaware,0.0,17.0
4917,2020-03-10,Arizona,5.0,51.0
9627,2020-03-10,Arkansas,0.0,12.0
2689,2020-03-10,Michigan,372.0,39.0
3248,2020-03-10,Vermont,1.0,34.0
9903,2020-03-10,Minnesota,5.0,132.0
10731,2020-03-10,West Virginia,0.0,2.0
4083,2020-03-10,Colorado,12.0,251.0
14031,2020-03-10,Idaho,0.0,41.0
10455,2020-03-10,Kentucky,4.0,28.0
3527,2020-03-10,Wisconsin,1.0,36.0
3805,2020-03-10,California,114.0,690.0
14032,2020-03-11,Idaho,0.0,67.0
12382,2020-03-11,Maine,0.0,42.0
13482,2020-03-11,Alabama,0.0,10.0
10180,2020-03-11,Kansas,1.0,41.0
7417,2020-03-11,Ohio,3.0,21.0
3528,2020-03-11,Wisconsin,2.0,43.0
983,2020-03-11,New Jersey,15.0,57.0
12107,2020-03-11,Mississippi,0.0,20.0
2970,2020-03-11,New York,151.0,1326.0
13757,2020-03-11,Connecticut,2.0,71.0
9352,2020-03-11,Pennsylvania,12.0,88.0
1847,2020-03-11,Virginia,8.0,60.0
3249,2020-03-11,Vermont,1.0,57.0
12657,2020-03-11,Montana,0.0,21.0
7140,2020-03-11,District of Columbia,5.0,20.0
6586,2020-03-11,Oregon,15.0,286.0
9628,2020-03-11,Arkansas,0.0,12.0
9904,2020-03-11,Minnesota,11.0,217.0
4640,2020-03-11,South Carolina,7.0,32.0
1563,2020-03-11,Indiana,6.0,33.0
3806,2020-03-11,California,133.0,916.0
1279,2020-03-11,Nebraska,3.0,47.0
4084,2020-03-11,Colorado,28.0,298.0
13207,2020-03-11,Utah,2.0,70.0
6863,2020-03-11,Tennessee,7.0,50.0
12932,2020-03-11,Oklahoma,2.0,15.0
8524,2020-03-11,Delaware,0.0,17.0
49,2020-03-11,Washington,488.0,7183.0
2128,2020-03-11,Rhode Island,5.0,139.0
10732,2020-03-11,West Virginia,0.0,3.0
682,2020-03-11,Florida,18.0,301.0
2690,2020-03-11,Michigan,528.0,57.0
8248,2020-03-11,Nevada,5.0,168.0
7971,2020-03-11,Maryland,6.0,94.0
4918,2020-03-11,Arizona,6.0,59.0
11007,2020-03-11,South Dakota,0.0,13.0
7694,2020-03-11,New Mexico,3.0,155.0
5474,2020-03-11,Illinois,19.0,244.0
11282,2020-03-11,Louisiana,1.0,37.0
9076,2020-03-11,Iowa,8.0,46.0
10456,2020-03-11,Kentucky,6.0,46.0
11557,2020-03-11,North Dakota,0.0,7.0
5752,2020-03-11,New Hampshire,4.0,38.0
4085,2020-03-12,Colorado,45.0,524.0
50,2020-03-12,Washington,622.0,10813.0
2129,2020-03-12,Rhode Island,5.0,176.0
6864,2020-03-12,Tennessee,7.0,79.0
13758,2020-03-12,Connecticut,3.0,89.0
3250,2020-03-12,Vermont,1.0,88.0
8525,2020-03-12,Delaware,1.0,23.0
13483,2020-03-12,Alabama,0.0,10.0
14033,2020-03-12,Idaho,0.0,93.0
8249,2020-03-12,Nevada,9.0,168.0
13208,2020-03-12,Utah,2.0,126.0
5753,2020-03-12,New Hampshire,4.0,94.0
5475,2020-03-12,Illinois,19.0,266.0
1280,2020-03-12,Nebraska,5.0,80.0
11008,2020-03-12,South Dakota,5.0,27.0
3529,2020-03-12,Wisconsin,3.0,84.0
3807,2020-03-12,California,157.0,916.0
6587,2020-03-12,Oregon,19.0,286.0
5197,2020-03-12,North Carolina,7.0,60.0
10733,2020-03-12,West Virginia,0.0,7.0
7695,2020-03-12,New Mexico,5.0,190.0
9353,2020-03-12,Pennsylvania,16.0,116.0
7418,2020-03-12,Ohio,4.0,30.0
984,2020-03-12,New Jersey,24.0,74.0
2691,2020-03-12,Michigan,727.0,91.0
11283,2020-03-12,Louisiana,6.0,37.0
12933,2020-03-12,Oklahoma,2.0,36.0
12383,2020-03-12,Maine,0.0,65.0
10181,2020-03-12,Kansas,1.0,41.0
1848,2020-03-12,Virginia,9.0,117.0
4919,2020-03-12,Arizona,9.0,82.0
12108,2020-03-12,Mississippi,0.0,41.0
2971,2020-03-12,New York,195.0,1823.0
11558,2020-03-12,North Dakota,0.0,12.0
9905,2020-03-12,Minnesota,21.0,307.0
683,2020-03-12,Florida,20.0,301.0
1564,2020-03-12,Indiana,10.0,52.0
4641,2020-03-12,South Carolina,9.0,48.0
11833,2020-03-12,Missouri,1.0,64.0
12658,2020-03-12,Montana,0.0,34.0
7141,2020-03-12,District of Columbia,5.0,20.0
9077,2020-03-12,Iowa,13.0,67.0
7972,2020-03-12,Maryland,9.0,94.0
9629,2020-03-12,Arkansas,0.0,24.0
10457,2020-03-12,Kentucky,8.0,56.0
3530,2020-03-13,Wisconsin,9.0,169.0
4642,2020-03-13,South Carolina,10.0,75.0
985,2020-03-13,New Jersey,30.0,97.0
684,2020-03-13,Florida,26.0,478.0
3251,2020-03-13,Vermont,2.0,132.0
2692,2020-03-13,Michigan,997.0,133.0
5476,2020-03-13,Illinois,25.0,294.0
1849,2020-03-13,Virginia,17.0,117.0
5754,2020-03-13,New Hampshire,6.0,94.0
3808,2020-03-13,California,202.0,916.0
1281,2020-03-13,Nebraska,10.0,80.0
2972,2020-03-13,New York,251.0,2483.0
4920,2020-03-13,Arizona,9.0,94.0
2130,2020-03-13,Rhode Island,13.0,224.0
1565,2020-03-13,Indiana,12.0,61.0
4086,2020-03-13,Colorado,72.0,610.0
5198,2020-03-13,North Carolina,12.0,86.0
6588,2020-03-13,Oregon,19.0,337.0
6865,2020-03-13,Tennessee,18.0,116.0
11009,2020-03-13,South Dakota,8.0,73.0
10734,2020-03-13,West Virginia,0.0,17.0
10458,2020-03-13,Kentucky,8.0,107.0
10182,2020-03-13,Kansas,4.0,93.0
9906,2020-03-13,Minnesota,43.0,541.0
14034,2020-03-13,Idaho,0.0,131.0
7142,2020-03-13,District of Columbia,10.0,20.0
11284,2020-03-13,Louisiana,14.0,37.0
51,2020-03-13,Washington,801.0,14922.0
9630,2020-03-13,Arkansas,6.0,30.0
7419,2020-03-13,Ohio,5.0,50.0
9354,2020-03-13,Pennsylvania,22.0,140.0
9078,2020-03-13,Iowa,14.0,83.0
7696,2020-03-13,New Mexico,10.0,237.0
8526,2020-03-13,Delaware,4.0,30.0
8250,2020-03-13,Nevada,12.0,168.0
11559,2020-03-13,North Dakota,1.0,39.0
7973,2020-03-13,Maryland,12.0,94.0
11834,2020-03-13,Missouri,1.0,71.0
12659,2020-03-13,Montana,1.0,55.0
13209,2020-03-13,Utah,4.0,215.0
13484,2020-03-13,Alabama,0.0,11.0
13759,2020-03-13,Connecticut,6.0,99.0
12384,2020-03-13,Maine,1.0,91.0
12934,2020-03-13,Oklahoma,3.0,36.0
12109,2020-03-13,Mississippi,1.0,41.0
4087,2020-03-14,Colorado,101.0,627.0
9631,2020-03-14,Arkansas,9.0,65.0
12935,2020-03-14,Oklahoma,3.0,36.0
