,month,state,City,POPESTIMATE2020,positive,negative
468,October,WY,Wyoming,582328.0,271888.0,3318793.0
469,September,AK,Alaska,731158.0,192640.0,12157935.0
470,September,AL,Alabama,4921532.0,4198655.0,27075160.0
471,September,AR,Arkansas,3030522.0,2149957.0,23395836.0
472,September,AZ,Arizona,7421401.0,6303038.0,33734652.0
473,September,CA,California,39368078.0,22750449.0,368017495.0
474,September,CO,Colorado,5807719.0,1883372.0,22316517.0
475,September,CT,Connecticut,3557006.0,1646653.0,39883073.0
476,September,DC,District of Columbia,712816.0,439967.0,9756345.0
477,September,DE,Delaware,986809.0,568858.0,7361513.0
478,September,FL,Florida,21733312.0,19794536.0,129505152.0
479,September,GA,Georgia,10710017.0,8877722.0,70747638.0
480,September,HI,Hawaii,1407006.0,320281.0,7421222.0
481,September,IA,Iowa,3163561.0,2214554.0,18634184.0
482,September,ID,Idaho,1826913.0,1075622.0,7395557.0
483,September,IL,Illinois,12587530.0,7978847.0,137928452.0
484,September,IN,Indiana,6754953.0,3198303.0,34045590.0
485,September,KS,Kansas,2913805.0,1506367.0,12393827.0
486,September,KY,Kentucky,4477251.0,1740471.0,29317291.0
487,September,LA,Louisiana,4645318.0,4759370.0,58289471.0
488,September,MA,Massachusetts,6893574.0,3782110.0,56316043.0
489,September,MD,Maryland,6055802.0,3501904.0,40907223.0
490,September,ME,Maine,1350141.0,147537.0,10282365.0
491,September,MI,Michigan,9966555.0,3737267.0,92525602.0
492,September,MN,Minnesota,5657342.0,2583948.0,35342505.0
493,September,MO,Missouri,6151548.0,3147667.0,31508957.0
494,September,MS,Mississippi,2966786.0,2718436.0,16898757.0
495,September,MT,Montana,1080577.0,287258.0,8500986.0
496,September,NC,North Carolina,10600823.0,5621193.0,74492555.0
497,September,ND,North Dakota,765309.0,486574.0,6164744.0
498,September,NE,Nebraska,1937552.0,1164549.0,11062705.0
499,September,NH,New Hampshire,1366275.0,232015.0,6863716.0
500,September,NJ,New Jersey,8882371.0,5928251.0,91178647.0
501,September,NM,New Mexico,2106319.0,811595.0,24376199.0
502,September,NV,Nevada,3138259.0,2223794.0,17228557.0
503,September,NY,New York,19336776.0,13370264.0,272581541.0
504,September,OH,Ohio,11693217.0,4159568.0,76543619.0
505,September,OK,Oklahoma,3980783.0,2149323.0,28689571.0
506,September,OR,Oregon,4241507.0,892863.0,17741622.0
507,September,PA,Pennsylvania,12783254.0,4374685.0,51169701.0
508,September,RI,Rhode Island,1057125.0,697873.0,8600798.0
509,September,SC,South Carolina,5218040.0,3988252.0,29106160.0
510,September,SD,South Dakota,892717.0,520231.0,4537390.0
511,September,TN,Tennessee,6886834.0,5249660.0,70935382.0
512,September,TX,Texas,29360759.0,20210796.0,145544434.0
513,September,UT,Utah,3249879.0,1808300.0,20131788.0
514,September,VA,Virginia,8590563.0,4042133.0,50421211.0
515,September,VT,Vermont,623347.0,50646.0,4457579.0
516,September,WA,Washington,7693612.0,2406410.0,47558104.0
517,September,WI,Wisconsin,5832655.0,2980500.0,38921030.0
518,September,WV,West Virginia,1784787.0,388898.0,14477169.0
519,September,WY,Wyoming,582328.0,137950.0,2528321.0
